claim_id,status,registered_statement,registered_scope,evidence_grade
E993-R25-BD-TAIL-NEGATIVE,VERIFIED,"With D(b,m) = C(b,m+1) - 2C(b,m) + C(b,m-1) (zero-extended) and the RANGED Bd(r,r) = D(2r-1,r) + sum_{a=1}^{6} C(6,a) max(0, max_{0 <= b <= 2r-1-a} D(b,r-a)): Bd(r,r) < 0 for every integer r >= 6 (and Bd(r,r) >= 0 exactly at r in {2,3,4,5}).","Binomial integers; no graph content; threshold sharp; the range b <= 2r-1-a (Konig/Hall) is load-bearing (the unranged object is >= 0 on r in [2,33]). Finite residue after the critics' strengthening: r in [6,49]; no registered predecessor in its DAG. ADDENDUM (2026-09-22): the r >= 6 half is formally verified (B-LA1); with the corrected ledger (SR-S2) the band E993-R25-FOURTH-BAND-CLOSE-ALL-R now has THREE formally verified inputs of eight (3, 6, 7), grade unchanged proved_informal. ERRATUM A1-E-c: the r25 synthesis S-U-1 sentence 'M_a(r) <= Cat_(r-1-a) has 19 failures at r <= 14' does not reproduce — 14 failures over r in [1,14], a in [1,6] (13 inside the layer) by the lane-B informal auditor's count across nine enumeration conventions; the mathematical point (the layer is a separate case and necessarily so: node 10 fails at a in {5,6} there and Gamma(6,r-1) < 0 for r = 6..12) stands.",see_certificate
E993-R25-GENERALISED-MD-INCIDENCE,VERIFIED,"For a finite simple graph of order 2r+d with a fixed matching on 2m vertices (K = 2m-d) and strata a_j, b_j of independent r- and (r+1)-sets meeting the matching's vertex set in j vertices: (r+1-j) b_j <= (r+j-K) a_j (outside incidence) and (j+1) b_{j+1} <= 2(m-j) a_j (inside incidence), with the partition over j <= m, three emptiness facts, N and Z forms and the re-centring at j <= K+1.","d <= 2m; j <= K+1 on the re-centring. The informal half is a RE-DERIVATION of material inside E993-R25-MATCHING-CERTIFICATE-SOUNDNESS's proof; the Lean half (12 new declarations, namespace Erdos993G1.UniformMatching) is new and kernel-clean with the permitted axioms.",see_certificate
E993-R25-FOREST-DELTA2-POS-ORDER-9,VERIFIED,0 < Delta_2(F) for every finite forest F of order >= 9; the threshold is sharp (P_8 has Delta_2 = -1).,Forests; rank 2 only. ADJACENCY ON ITS FACE: the general-graph analogue E993-GRAPH-COVER3-STRICT-PRE-R-INCREASE is REFUTED (order-9 plateau witness containing a cycle); that refutation does not touch the forest lemma — acyclicity is load-bearing.,see_certificate
E993-R25-CLAMPED-GREEDY-OPTIMALITY,VERIFIED,"In the reduced C1/C2 column system of the matching certificate, the clamped-greedy chain maximises mu_j pointwise among nonnegative feasible partial assignments; hence the certificate system at (d,r) is feasible if and only if clamped-greedy is.","The reduced C1/C2 column system; turns the small-rank band sweep (d in [3,300], r in [d, K(d)-1], 44,700 cells) from a witness search into a decision procedure — still bounded computation.",see_certificate
E993-R25-ALIVE-WINDOW,VERIFIED,"For a graph of order 2r+d with a fixed matching of m edges and K = 2m-d: a_j != 0 implies j in [max(0,K-r), min(m,r)] and b_j != 0 implies j in [max(0,K-r+1), min(m,r+1)].",Elementary; unconditional in d; fixes the small-rank band's upper endpoint at K(d)-1 (the lower endpoint r = d is C-T2-F's cardinality/award account).,see_certificate
E993-R25-NR1-DECOMPOSITION,VERIFIED,NR1 (Delta_{x(F)+1}(F) <= 0 for forests) is the union of the registered VERIFIED E993-INDEPENDENCE-POSITIVE-DELTA-SIZE on orders <= 2x+3 with the single rank r = x(F)+1 of Tier 1 on orders >= 2x+4; hence Tier 1 implies NR1 implies x(G + K1) <= x(G)+1.,A reduction in honest conditional form; the two bands are complementary; prices the T-C4-04 residue at exactly one rank of Tier 1.,see_certificate
E993-R25-KADDITION-CLOSURE-X-LE-4,VERIFIED,x(G + K1) <= x(G)+1 for every finite forest G with x(G) <= 4 (no order bound in the hypothesis).,"Fixed-rank, named as such: x(G + K1) <= x(G)+1 for every finite forest G with x(G) <= 4, no order bound in the hypothesis. CONDITIONAL -> VERIFIED at the Cycle 5 close: both former dependencies addressed — Hunter's spanning-tree inequality PROVED in-run (E993-R25-HUNTER-SPANNING-TREE-INEQUALITY) and the un-replayed finite scan replaced by E993-R25-SECOND-ORDER-TWO-SIDED-CEILING, whose parameter space is proved complete (Delta_4 < 0 implies |V| <= 19 < 21). Remaining input named on its face: the order-<= 21 in-run forest census (8,355,831 classes; established in Cycle 4, replayed byte-identically by both Cycle 4 critics; not re-run in Cycle 5). Smallest open rank x = 5, residue orders 22-29 (about 1.9e10 classes). r27 Cycle 1 (2026-09-24): extended to x ≤ 5 by E993-R27-KADDITION-CLOSURE-X-LE-5 at proved_informal-with-census; the census input is named on the new claim's face, and no formal grade from (LB)/(R5) promotes either claim. The clause 'Smallest open rank x = 5, residue orders 22–29' is closed: under (R5) every forest with x = 5 has order ≤ 20. Rank 0 of this claim's own statement is discharged directly (Δ_0 = n − 1 < 0 iff n = 0; ∅ ⊔ K_1 = K_1 with x = 1), so it needs no census artifact; closure_certificate.json's rank-0 entry is corroboration.",see_certificate
E993-R25-FOURTH-BAND-CLOSE-ALL-R,VERIFIED,For every finite forest F and natural r >= 1: |V(F)| = 2r+5 and x(F) < r imply Delta_r(F) <= 0.,"FIXED-BAND d = 5 (the diagnostic band E993-C3-FOREST-FOURTH-WIDE-CROSSING-SIGN), every r; x(F) < r load-bearing. Composed at the Cycle 4 synthesis from eight inputs; graded at the weakest link. NO INPUT IS CARRIED WITHOUT A DERIVATION (SR-S2, addendum lane C): the two links carried in Cycle 4 were derived in Cycle 5 — the cover-fiber/Hall carry step (seat F3; C-F3-T, C-F3-U; F adjudicator), now formally verified as E993-R25-BAND-CARRY-STEP-HALL (C6-LA2); and the general half of c(5) = 5, derived from E993-R25-BAND-CARRY-STEP-HALL and E993-R25-BINOMIAL-DIFFERENCE-CATALAN-CEILING and still proved_informal. Supersedes E993-R25-FOURTH-BAND-CLOSE-R-LE-260 (kept as the historical record). Consequence stated exactly and no further: Tier 1's remaining region is the excesses d >= 6. Not awarded as a composition: THREE of its eight inputs are formally verified at the addendum close (the matching half C1-LA1; the carry step C6-LA2; the arithmetic tail B-LA1, addendum lane B) — a count of formal inputs is not a grade; the grade is proved_informal at the weakest link.",see_certificate
E993-R25-MATCHING-DUAL-SCALAR-CORE,VERIFIED,"For all natural m, K with K <= 2m and 3(2m-K) <= 2m+2, and every hard index n (K+1 < 2n, n <= m): descFactorial(n, s) >= 2^s * descFactorial(m+n-K-1, s) with s = 2n-K-1 (inequality (P) at every hard index, both parities of K); together with the discriminant factorisation 9d^2 + 12(m+1)d - 12(m+1)^2 = 3(3d - 2(m+1))(d + 2(m+1)) for d = 2m-K, the two-sided characterisation (the discriminant is <= 0 iff 3d <= 2m+2, for m, d >= 0), and step (S): (n+1)(K+1-n) >= 4(m+n-K)(m-n) on the region.","Pure arithmetic of the stratified matching-incidence certificate's greedy dual; uniform in (m,d) on the region and in the index; no horizon; m and d are numerals; no SimpleGraph, Delta_k or indepCount occurs; nu, tau and x(F) < r enter nowhere. EXCLUDED: it is the SCALAR core and does NOT raise E993-R25-MATCHING-ALL-INDEX-DUAL-POSITIVITY (whose object is coefficientwise-in-t nonnegativity of N_j); not the large-rank theorem; not the Tier 3a schema; no statement about any graph, forest, G1 tuple, tier, FOREST, TREE, TRANSFER or Erdos #993; no sharpness claim; no certificate-existence claim for any graph.",see_certificate
E993-R25-G1-RESIDUAL-D5-SLICE,VERIFIED,"Every exact ordinary G1 tuple (T,v,s,g,p) satisfying the ten guards, with U = T - (N_T[v] u N_T[g]) in the original closed neighbourhoods and residual order |U| = 2p+1 (residual excess d' = 5), satisfies Delta_{p-2}(U) <= 0.","FIXED-SLICE d' = 5 only; registered by the equation |U| = 2p+1. Finiteness of U comes from guard 9 (not guard 1); p >= 3 comes from guard 10 alone; guard 10 is exactly the band hypothesis x(U) < p-2 and is load-bearing (3,206 of 264,648 guard-1-to-9 tuples with |U| = 2p+1 have Delta_{p-2}(U) > 0); guards 2-8 inert. The slice is EMPTY for p-2 <= 4 as a theorem and settled exhaustively at p-2 = 5 without the band, so the informal band E993-R25-FOURTH-BAND-CLOSE-ALL-R is load-bearing only at p-2 >= 6. No part of the grade may be sourced to E993-R25-FOURTH-BAND-SEVEN-EDGE-MATCHING-SIGN alone. With the registered d' = 2 and d' = 4 slices and E993-R25-G1-RESIDUAL-D3-SLICE, the Tier 2 residue is every d' >= 6 plus the single cell p = 6 at d' = 3. E993-G1WIDE-NO-SIZE-CAP stays OPEN (uniform in |U|; nothing bounds d' above); no status transfer to any tier.",see_certificate
E993-R25-BAND-CARRY-STEP-HALL,VERIFIED,"For every finite simple graph F of order 2r+5 with a vertex cover C, |C| = 6, and nu(F) = 6: Delta_k(F) - Delta_{k-1}(F) <= Bd(r,k) for every integer k, with Bd the RANGED object Bd(r,k) = D(2r-1,k) + sum_{a=1}^{6} C(6,a) max(0, max_{0 <= b <= 2r-1-a} D(b,k-a)).","nu enters once (the numeric equality producing the C -> B bijection); tau = 6 fixes C(6,a) and |B| = 2r-1; d = 5 enters only through the order; x(F) < r enters nowhere; acyclicity enters nowhere; nu = tau is proved load-bearing by an explicit nu < tau control. No horizon. The graph-theoretic carry step of the d = 5 band's closure, now DERIVED (it was carried from the Cycle 3 record in Cycle 4).",see_certificate
E993-R25-BINOMIAL-DIFFERENCE-CATALAN-CEILING,VERIFIED,"With E(n,k) = C(n,k+1) - C(n,k) (zero-extended): for every k >= 0 and every n >= 2k+2, E(n,k) >= Cat_{k+1}, with equality exactly at n = 2k+2, and E(.,k) strictly increasing on n >= 2k+2.","Binomial/Catalan integers; no graph content. (The return's 'increment > 0 for n >= 2k-1' is wrong: exactly 0 at n = 2k-1; strictness begins at n = 2k.) Reduces the exceptional cells of c(5) = 5's general half from eight (three at tau = 4, five at tau = 5) to the five tau = 5 cells by algebra.",see_certificate
E993-R25-G1-RESIDUAL-D3-SLICE,VERIFIED,"Every exact ordinary G1 tuple satisfying the ten guards with residual order |U| = 2p-1 (residual excess d' = 3) satisfies Delta_{p-2}(U) <= 0, for every p >= 3.","FIXED-SLICE d' = 3 only. Theorem-grade at every p except p = 6, where it is bounded computation inherited from the matching band's live cell (d,r) = (3,4). Forest-restricted and LITERATURE-FREE: U is a forest; at d = 3 the window is empty (c(3) = 3, m(3) = 4), so tau(U) <= 3 (the registered VERIFIED E993-R25-COVER-THRESHOLD-MIN-D-5-FOREST at d = 3, strict and uniform) and tau(U) >= 4 (the run's own matching branch at nu >= m(3) = 4) are exhaustive — the Basit-Galvin (2021) Theorem 3 dependency is DISCHARGED for this slice at every rank; the graph-general E993-GRAPH-SECOND-WIDE-CROSSING-SIGN still carries it and any citation of it must. Guard 10 is x(U) < p-2 verbatim. No transfer to Tier 2.",see_certificate
E993-R25-HUNTER-SPANNING-TREE-INEQUALITY,VERIFIED,"For finite sets A_1..A_m and any spanning tree T on the index set: |union A_i| <= sum |A_i| - sum_{(i,j) in T} |A_i n A_j|.","General set systems; no graph, no horizon; no source vendored — proved in-run. r27 Cycle 1 (2026-09-24): the x ≤ 5 closure route does not use it; the claim is unchanged and its r25 role is untouched.",see_certificate
E993-R25-SECOND-ORDER-TWO-SIDED-CEILING,VERIFIED,"For every finite forest G: Delta_4(G) < 0 implies |V(G)| <= 19, and Delta_5(G) < 0 implies |V(G)| <= 29.","FIXED-RANK (k = 4, 5), named as such; the (e, c_e, degree multiset) parameter space is PROVED complete (a proved superset); the tail is supplied by the formally verified (k+1)^2 award. NOT a no-recovery statement. Composed with the order-<= 21 in-run census this closes rank x = 4 of the K1-addition target and narrows x = 5 to orders 22-29. r27 Cycle 1 (2026-09-24): (LB) (E993-R27-FOREST-DESCENT-LINEAR-BOUND, formally_verified) gives Δ_4 < 0 ⇒ n ≤ 16 and Δ_5 < 0 ⇒ n ≤ 20, strictly stronger at both ranks. This claim is unchanged; no grade moves. The narrative clause 'narrows x = 5 to orders 22–29' is superseded: under (R5) that band is empty. The Δ_4 < 0 ⇒ n ≤ 19 clause remains the load-bearing half of the registered x ≤ 4 closure.",see_certificate
E993-R25-FOREST-ORDER-BOUND-SHARPENED,VERIFIED,For every finite forest G and every k >= 2: Delta_k(G) < 0 implies |V(G)| <= k^2 + k + 3 (with N*(1) = 4).,"Forests; uniform in k >= 2 (N*(1) = 4). Strictly sharper than the formally verified (k+1)^2 by exactly k-2 for k >= 3; never a weaker sibling and never 'improving the award'. The formerly named-open step — the argmin at e = n-1, c_e = 1 minimising H(n,k,e,min(e,n-e)) — was PROVED unconditionally in Cycle 6 by seat T2 (closed form W(e+1) - W(e) = -(1+delta) C(n-4,k-2) - C(n-4,k-1), delta >= -1, n >= 4 tight) and kernel-checked (formally_verified for award C6-LA6: ErdosR25T2.candidateD_argmin, an INTEGER statement about zero-extended binomials with no graph token; the c_e = 1 bridge critic-attributed to C-T2-F); this is a SCOPE UPDATE, explicitly NOT a grade change of this claim — the full graph theorem's assembly (N12; binding node N3, the maximum-weight auxiliary spanning tree over the line graph; the tree-ordering bridge of Hunter's inequality; an explicit e = 0 node) is unformalised. Hunter's inequality is Cycle 5 seat T3's (E993-R25-HUNTER-SPANNING-TREE-INEQUALITY), not T1's. Seat T2's section 5 states the two boundary-order sign tests INVERTED and is struck (control/C6-CONTROLLER-ADDENDUM-T2-S5.md); the true facts: H - C < 0 at n = k^2+k+3 and > 0 at n = k^2+k+4 for every k >= 2 tested. r27 Cycle 1 (2026-09-24): k²+k+3 − 4k = k²−3k+3 > 0 for every k, so (LB) (E993-R27-FOREST-DESCENT-LINEAR-BOUND) strictly dominates at every k ≥ 2. This claim is unchanged.",see_certificate
E993-R25-MA-CATALAN-COMPARISON,VERIFIED,"M_a(r) := max_{0 <= b <= 2r-1-a} D(b, r-a) satisfies M_a(r) <= Cat_{r-1-a} for a = 1..6 and every r >= 15, with no computational residue; r >= 15 is sharp (M_6(14) = 3230 > Cat_7 = 429).","Binomial/Catalan integers; fixed-band d = 5 through the range 2r-1; uniform in r; never uniform in d. With Cat_r - sum_{a=1}^{6} C(6,a) Cat_{r-1-a} = Gamma(6,r-1) and the formally verified Gamma(6,k) > 0 for k >= 12, the Bd tail becomes a corollary of a registered formal award for r >= 15.",see_certificate
E993-R25-D-ROW-STEP-SIGN-LAW,VERIFIED,"With h(g) = D(2m-g, m): m(2m-g)(h(g+1) - h(g)) = C(2m-g, m-1)(2m - g^2 + g) for 0 <= g < m, hence sign(h(g+1) - h(g)) = sign(2m - g^2 + g) with no hypothesis on N(g); and the integral peak bracket N(g_c) <= 4 g_c - 5 at the argmax g_c.","Arithmetic of the integer function g -> D(2m-g, m). The name must not be read as unimodality of any independence sequence: proved from a sign identity, importing no shape premise on any i_k. No horizon. The seat's drafted Lean contract D_unimodal_peak (bracket g_c^2 - g_c < 2m+2) is a FALSE proposition (true at 28 of 399 values) and must never be dispatched.",see_certificate
E993-R25-FOREST-DELTA3-THRESHOLD-ORDER-12,VERIFIED,"Delta_3(F) > 0 for every finite forest F of order >= 12; sharp at 11, where P_11 is the unique minimiser (Delta_3 = -14).","FIXED-RANK (k = 3), uniform in order, no horizon; nu, tau enter nowhere; acyclicity at exactly two points; x(F) < r never assumed (x >= 4 is a corollary). Registered as the FIRST PROOF of an in-run recorded statement (the threshold was recorded in Cycle 4), NOT as a new statement and NEVER as a sharpening of E993-R25-FOREST-DESCENT-ORDER-BOUND-SHARP. The excess reading is a translation of a fixed-rank fact, not a d-band result. Proof: the pendant-vertex identity Delta_k(F) = Delta_k(F-v) + Delta_{k-1}(F-v-u) for a leaf v with neighbour u, an induction (Lemma D2's edgeless-forest case repaired), and exhaustive bases; the order-12 base is unnecessary (an exhaustive base at order 8, 76 classes, suffices with Lemma D1).",see_certificate
E993-R25-CARD5-JOINT-BUDGET-CELLS,VERIFIED,"For every finite forest of order 15 with tau <= 5: Delta_4 >= +21 > 0; of order 17 with tau <= 5: Delta_5 >= +42 > 0; and by the same argument all five registered tau = 5 cells close with +9, +5, +9, +21, +42 at orders 9, 11, 13, 15, 17. Operative form: the affine certificate f(d) >= 42 - 14d on the cross-degree profile, exactly tight at both chartered cells.","FIXED-CELL (one (r,k,order) triple each), not uniform in d; tau <= 5 load-bearing and cover-essential at orders 15 and 17 only; the constraint sum crossdeg <= order - 1 is LOAD-BEARING (removing it degenerates the refinement exactly to the size-only bound -18/-14); the unstated padding lemma (tau <= 5 implies a card-5 cover exists) is required. Carries the ballot identity: the size-only card-5 bound at the top-rank cell IS Gamma(5,k) identically, so K(5) = 6 and 'size-only closes from order 19 up' are one fact and the small-rank list is exactly k in {1..5}. A second, non-census derivation of instances of the registered VERIFIED E993-R25-COVER-THRESHOLD-MIN-D-5-FOREST, whose status it does NOT change. True cell minima by exhaustive census: +56 (order 15), +43 (order 17).",see_certificate
E993-R25-PENDANT-CAP-TAU-7,VERIFIED,"The minimum of Delta_{r-1} over the padding simplex of any connector-only (7,7,r) skeleton is attained at some pendant vector p with sum p <= 45, uniformly in r.","The (7,7,r) cells, ALL 1,082 skeleton classes (128 connector-only + 954 cover-edge; F[C] = empty is used nowhere), uniformly in r. Criterion of record: a Pascal term is <= 0 exactly when n_S <= 2(r-1-t) - 1 (equivalently |B n N(S)| >= 2|S|+3), NOT n_S <= 2(r-1-t) - 2 (sufficient only); through the same termination argument the constant of record is Sum p <= 40 = max_t (2t+2)(8-t), NOT 45 (both critics C-T4-F and C-T4-U independently; T adjudicator verified the arithmetic; both constants are attained by cell-valid configurations, so 40 is the method's exact ceiling). The order-derived padding box 0 <= Sum p <= 2r-K already makes the cap vacuous at r = 15; it binds only at large r. A load-bearing step supplied by C-T4-U: the greedy move stays inside the cell (p_{c*} >= 6 keeps the SDR, so nu = tau = 7 survives). The Cycle 5 attribution (C-T2-U) is not reopened. No 'extremality at tau = 7' reading.",see_certificate
E993-R25-THIN-TREE-LOGCONCAVE-TAU-LE-9,VERIFIED,No thin tree (skeleton on <= 2 tau - 1 vertices plus at most one pendant leaf per cover vertex) with cover number tau <= 9 has a log-concavity failure at any rank; a fortiori none has an in-window failure and none recovers.,"Unconditional, no horizon: the band of orders 2 tau .. 3 tau - 1 is forced, so the case analysis is complete (orders <= 25 by the registered census; the remainder by exhaustive sweep).",see_certificate
E993-R25-THIN-TREE-LOGCONCAVE-TAU-LE-10,CONDITIONAL,No thin tree with cover number tau <= 10 has a log-concavity failure at any rank.,"CONDITIONAL on the registered order-<= 25 census (E993-UNIV-TREE-TRS2, smallest_witness_order 26), which must travel on its face; the sweep above order 25 is exhaustive (729,303 classes at tau = 10, reproduced by both critics).",see_certificate
E993-R25-THIN-TREE-TOP-ORDER-CLASSIFICATION,VERIFIED,"For every tau >= 2, the thin trees of cover number exactly tau and order exactly 3 tau - 1 are exactly the once-subdivided free trees on tau vertices with one pendant leaf per original vertex; the correspondence is a bijection of isomorphism classes, so there are exactly t(tau) of them.","Unconditional, structural, no horizon (reproduces the seat's top-order row 6, 11, 23, 47, 106 and predicts 235 / 551 / 1301; 235 confirmed at tau = 11 by both critics).",see_certificate
E993-R25-THIN-FOREST-NO-RECOVERY-TAU-LE-10,VERIFIED,"Every forest all of whose components are thin trees with cover number tau <= 10 is log-concave at every rank, hence has no recovery at any rank.",Rests on the two VERIFIED TRS2 claims (log-concavity is closed under convolution) and inherits E993-R25-THIN-TREE-LOGCONCAVE-TAU-LE-10's conditionality on the order-<= 25 census.,see_certificate
E993-R25-STRATUM-COROLLARY-F-D12-REFUTED,REFUTED,"The extension of E993-R25-STRATUM-DEPTH-COROLLARY-F beyond d <= 11 to d = 12 (tau = nu = 13) is FALSE at k = r-2 for every r in {20,...,28}, with explicit witness forests at every one of those nine ranks (e.g. r = 25: order 62, uniform cover-degree 4, Delta_23 = -192,621,735,920; r = 20: order 52, Delta_18 = -442,663,386); on the witnesses x(F) = r-2, so the conclusion x(F) >= r-1 also fails; neither recovers.","Witness-backed refutation of an EXTENSION beyond a registered scope; the registered claim (d in {2,...,11}) is untouched and not impeached. The k = r-2 qualifier is mandatory. NO Tier 1 contact: the witnesses are unimodal and log-concave with Delta_r < 0. The failure widens with d (negative band r = 21..261 at tau = 14; open past r = 400 at tau = 15..20); the onset threshold is r >= (tau(D-1)+2)/2. r = 19 at tau = 13 stays OPEN (>= +89,857,131 under two controlled null searches; exhaustive over the single-hub family: +405,520,555).",see_certificate
E993-R25-MATCHING-ALL-INDEX-COEFFICIENTWISE-NONNEG,VERIFIED,"For all naturals m, K, d with K + d = 2m and 3d <= 2m+2, the certificate-dual polynomial N_j(t) is coefficientwise nonnegative for EVERY j <= m (clause (a) of E993-R25-MATCHING-ALL-INDEX-DUAL-POSITIVITY).","Uniform in d, m and j; no horizon; no graph object; nu, tau, x(F) < r nowhere; the region 3d <= 2m+2 is exactly sharp (off-region witness (m,d) = (1,2): N_1 = -t-1). Substitution t = r - K. EXCLUDED: clause (b) of the parent claim (mu_j^g(t) >= 0, denominator positivity, clamp persistence) is formalised nowhere, so the parent stays proved_informal and 'the coefficientwise positivity lemma is formal' must never be shortened to 'the all-index dual positivity claim is formal'; the j = m instance IS the sufficiency half of E993-R25-MATCHING-CERTIFICATE-POSITIVITY-IFF (Q_{m,d} = m! N_m; two registry keys); the converse half is not formalised; bears not at all on E993-R25-MATCHING-BRANCH-UNIFORM-SIGN (OPEN).",see_certificate
E993-R25-BD-INTERIOR-PEAK-CATALAN-BOUND,VERIFIED,"For all naturals m, g with 7 <= m, g <= m, 2m <= g^2 - g and (g-1)^2 - (g-1) < 2m: D(2m-g, m) <= Cat_{m-1}, with D(b,m) = C(b,m+1) - 2C(b,m) + C(b,m-1) over the integers, zero-extended.","Parameterized in m with the explicit threshold 7 <= m (load-bearing: fails below); the maximiser is supplied as a WITNESS of the two bracket inequalities and never asserted to exist (exactly one witness g per m). Fixed-band d = 5 arithmetic ingredient; no graph content; 'the step-sign law and interior peak bound', never 'the band's tail'; raises neither E993-R25-BD-TAIL-NEGATIVE nor E993-R25-FOURTH-BAND-CLOSE-ALL-R.",see_certificate
E993-R25-CARD5-COVER-CATALAN-BOUND,VERIFIED,"For every finite simple graph F on n+5 vertices with a vertex cover C of card 5 and every natural k: C(n,k+1) - C(n,k) - 5 Cat_{k-1} - 10 Cat_{k-2} - 10 Cat_{k-3} - 5 Cat_{k-4} - Cat_{k-5} <= Delta_k(F) (each Catalan term present only when its index is >= 0), together with the six-term telescoping identity for Gamma(5,k).","Parameterized in (n,k); unconditional (no floor hypothesis); the card-5 analogue of frozen ENTRY 179 (card 4), consuming the renamed cover_rank_bound_five (the frozen ENTRY 170 collision resolved). EXCLUDED: Gamma(5,k) > 0 for k >= 6 (catalan_gap5_pos) is an instance of the formally verified E993-R25-CATALAN-GAP-MONOTONE-RATIO at tau = 5 and is NOT registered as new; not c(d) = min(d,5); not a tier statement.",see_certificate
E993-R25-RANK5-CEILING-SHARPENED-TO-25,VERIFIED,For every finite forest F: Delta_5(F) < 0 implies |V(F)| <= 25; equivalently every finite forest on >= 26 vertices has Delta_5(F) >= 0.,"FIXED-RANK k = 5. An ORDER BOUND (contrapositive Delta_5 >= 0), never a no-recovery statement, never bundled with the x <= 4 closure. Composition on its face: orders 26-29 proved in-run over a proved-complete (e, c_e, degree multiset) superset including disconnected forests, every (e, c_e) != (n-1, 1) and the edgeless case; n >= 30 composed with the registered rank-5 ceiling 29 (whose tail is the formal (k+1)^2 = 36 for n >= 37 plus the second-order certificate for 30 <= n <= 36). STRUCTURAL REPAIR (second read): the chain 36 -> 33 -> 29 -> 25 is a numerically decreasing sequence, not a derivation chain — k^2+k+3 = 33 is NOT on the derivation path of 25. Named dependencies: the classical second- and third-order Bonferroni inequalities; E993-R25-HUNTER-SPANNING-TREE-INEQUALITY (proved_informal, Cycle 5 seat T3); the AM-GM substitution; kappa(n,k) >= 0. Residue for x = 5 on orders 22-25: forests with at least THREE branch vertices (E993-R25-RANK5-TWO-BRANCH-EXACTNESS-ORDERS-22-29). r27 Cycle 1 (2026-09-24): under (R5) (E993-R27-RANK5-CEILING-20, formally_verified) the stated residue for x = 5 on orders 22–25 with ≥ 3 branch vertices is EMPTY; the branch-vertex condition is inert (the order band alone suffices). The claim's own statement and VERIFIED grade are unchanged; the residue note is a downstream consequence at the grade of (R5) and does not promote to this face.",see_certificate
E993-R25-FOREST-THIRD-ORDER-BONFERRONI-BOUND,VERIFIED,"Theorem D: the third-order Bonferroni bound on the number of independent k-sets of a triangle-free graph in terms of (n, e, c_e, degree multiset), with the AM-GM substitution and kappa(n,k) >= 0 (sole exception (5,4)).","Holds for EVERY triangle-free graph — acyclicity is used only through triangle-freeness (C-T3-U), which is why the chartered lever under-delivers; alone it is WEAKER than the second-order certificate at every relevant order (loose on near-star profiles) and is useful only in the joint Pareto combination.",see_certificate
E993-R25-RANK5-TWO-BRANCH-EXACTNESS-ORDERS-22-29,VERIFIED,Every finite forest of order 22-29 with at most two branch vertices (vertices of degree >= 3) has Delta_5 >= 0.,"Bounded computation, COMPLETE on the named finite class: 20,108,361 isomorphism classes / 19,955,812 Delta_5 evaluations, zero violations, with a positive-detection control and an AHU completeness control; the two-hub tree sub-family at orders 22-25 is 227,966 classes (58,648 / 86,660 / 126,677 / 183,325 structures per C-T3-F's count). SUPERSEDES any spider candidate (the seat's spider enumeration covers connected spanning trees only, 15,650 distinct classes, its '10,738' struck). Consequence: the x = 5 residue of the K1-addition target is exactly the forests of order 22-25 with at least three branch vertices. r27 Cycle 1 (2026-09-24): stands as a standalone theorem at its own statement and VERIFIED grade. Its role as an INPUT to the K1-addition closure is superseded by the (R5) route (E993-R27-RANK5-CEILING-20, formally_verified), which needs no branch-vertex analysis; the consequence stated on this face — 'the x = 5 residue of the K1-addition target is exactly the forests of order 22–25 with at least three branch vertices' — is EMPTY under (R5). Neither the theorem nor its grade moves.",see_certificate
E993-R25-THIN-TREE-LOGCONCAVE-TAU-LE-11,CONDITIONAL,No thin tree with cover number tau <= 11 has a log-concavity failure at any rank.,"Thin = at most one pendant leaf per cover vertex; order in [2tau, 3tau-1] exactly (order 33 = 3tau is outside the band). CONDITIONAL on the registered order-<= 25 census (E993-UNIV-TREE-TRS2, orders 22-25 at tau = 11) and on Cycle 5 critic C-F4-T's orders 27-32 (unreplicated in Cycle 6); order 26 is Cycle 6's exhaustive sweep (336,219 skeletons, 10,601,172 attachment instances, 1,178,732 distinct thin classes, zero failures), reproduced to the unit orbit-free by both F1 critics; orders 32 (235 classes) and 35 at tau = 12 (551) closed by C-F1-U. Successor of E993-R25-THIN-TREE-LOGCONCAVE-TAU-LE-10.",see_certificate
E993-R25-THIN-FOREST-NO-RECOVERY-TAU-LE-11,VERIFIED,Every forest all of whose components are thin trees with tau <= 11 is log-concave at every rank and has no recovery at any rank.,"Via E993-TRS2-IFF-ALC and E993-TRS2-CONVOLUTION-CLOSURE with the POSITIVE-INTERVAL-SUPPORT hypothesis and E993-TRANSFER-TO-FOREST's per-component discipline on its face; inherits E993-R25-THIN-TREE-LOGCONCAVE-TAU-LE-11's conditionality. Successor of E993-R25-THIN-FOREST-NO-RECOVERY-TAU-LE-10; NOT a scope note on E993-R25-RECOVERY-LOGCONCAVITY-NECESSARY. The in-window question at tau = 12 stays open at exactly h in {6,7,8} of order 26 (764,513 skeletons; the two known tau = 12 log-concavity failures T(3,4,4) (h = 3, rank 13, -378) and W2 (h = 4, rank 13, -68) are out of window; padding either with isolated vertices to m <= 3000, K2 blocks or each other yields no in-window failure); the standing in-window minimum tau = 21 is unchanged.",see_certificate
